Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
,Saint Martin,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,18.0648183,-63.0491711
,U.S. Virgin Islands,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,17.789187,-64.7080574
,Sudan,03/19/2020 23:30,2,1,0,2020-03-20 15:30:00,1,14.584444400000002,29.4917691
,Benin,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,9.5293472,2.2584408
,Bermuda,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,32.3018217,-64.7603583
,Greenland,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,77.61923490000002,-42.8125967
,Haiti,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,19.139995199999998,-72.35709720000001
,Liberia,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,5.7499721,-9.3658524
,Mauritania,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,20.2540382,-9.2399263
,New Caledonia,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,-20.4542886,164.55660580000003
,Saint Lucia,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,13.8250489,-60.975036
,Zambia,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,-14.5186239,27.5599164
,Nepal,03/19/2020 23:30,1,0,1,2020-03-20 15:30:00,0,28.1083929,84.0917139
,Antigua and Barbuda,03/19/2020 23:30,1,0,0,2020-03-20 15:30:00,1,17.223472100000002,-61.9554608
